N,1st Run,2nd Run,3rd Run,Average,Value 1,Value 2,Value 3
1000,3516,3528,3648,3564,3516,3528,3648
2000,4008,3700,3829,3845.6666666666665,4008,3700,3829
3000,4276,4229,3822,4109,4276,4229,3822
4000,4379,4318,4247,4314.666666666667,4379,4318,4247
5000,4158,4145,4163,4155.333333333333,4158,4145,4163
6000,4302,4363,4203,4289.333333333333,4302,4363,4203
7000,4389,4274,4291,4318,4389,4274,4291
8000,4259,4265,4227,4250.333333333333,4259,4265,4227
9000,4142,4427,4357,4308.666666666667,4142,4427,4357
10000,4302,4291,4252,4281.666666666667,4302,4291,4252
